Email_id,Sender_Name,Sender_cadre,Sender_dept,Rec_name,Rec_cadre,Rec_dept,Email_subject,Msg_Date,Sentiment,Message_status,Device,Within_work_hrs,Within_workdays,Msg_day,Msg_month,day_name,Week_of_month,exc_type
357,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-11,positive,unopened,desktop,yes,yes,11,March,Monday,3,intra_mails
358,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-20,positive,opened,mobile,yes,yes,20,March,Wednesday,4,intra_mails
359,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Operational Issues,2024-03-07,neutral,opened,mobile,yes,yes,7,March,Thursday,2,intra_mails
360,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Operational Issues,2024-03-06,neutral,opened,desktop,yes,yes,6,March,Wednesday,2,intra_mails
361,Mata McGifford,Middle level management,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,intra_mails
362,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-04,positive,opened,desktop,yes,yes,4,March,Monday,2,intra_mails
363,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Meeting Scheduling,2024-03-26,neutral,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
364,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-23,neutral,unopened,desktop,no,no,23,March,Saturday,4,intra_mails
365,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Project Updates,2024-03-27,positive,opened,desktop,yes,yes,27,March,Wednesday,5,intra_mails
366,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-25,negative,opened,desktop,yes,yes,25,March,Monday,5,intra_mails
367,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-11,negative,opened,desktop,yes,yes,11,March,Monday,3,intra_mails
368,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-06,negative,opened,mobile,yes,yes,6,March,Wednesday,2,intra_mails
369,Mata McGifford,Middle level management,Customer Service,Maribelle Oliver,Professional,Customer Service,Internal Policies and Procedures,2024-03-20,neutral,opened,desktop,no,yes,20,March,Wednesday,4,intra_mails
370,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Operational Issues,2024-03-05,neutral,opened,desktop,yes,yes,5,March,Tuesday,2,intra_mails
371,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-19,neutral,opened,desktop,yes,yes,19,March,Tuesday,4,intra_mails
372,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-12,neutral,unopened,desktop,yes,yes,12,March,Tuesday,3,intra_mails
373,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-08,negative,opened,desktop,yes,yes,8,March,Friday,2,intra_mails
374,Mort De Benedictis,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Project Updates,2024-03-14,neutral,opened,mobile,yes,yes,14,March,Thursday,3,intra_mails
375,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-29,neutral,unopened,mobile,yes,yes,29,March,Friday,5,intra_mails
376,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Security Alerts,2024-03-05,neutral,opened,mobile,yes,yes,5,March,Tuesday,2,intra_mails
377,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-25,neutral,unopened,desktop,no,yes,25,March,Monday,5,intra_mails
378,Tamara Brewitt,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Meeting Scheduling,2024-03-20,negative,opened,desktop,yes,yes,20,March,Wednesday,4,intra_mails
379,Edithe Cinnamond,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Operational Issues,2024-03-29,neutral,opened,desktop,no,yes,29,March,Friday,5,intra_mails
380,Angie Penticost,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-12,positive,opened,mobile,yes,yes,12,March,Tuesday,3,intra_mails
381,Angie Penticost,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-08,negative,opened,desktop,yes,yes,8,March,Friday,2,intra_mails
382,Angie Penticost,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-11,negative,opened,desktop,yes,yes,11,March,Monday,3,intra_mails
383,Maribelle Oliver,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-20,neutral,opened,desktop,yes,yes,20,March,Wednesday,4,intra_mails
384,Maribelle Oliver,Professional,Customer Service,Mata McGifford,Middle level management,Customer Service,Project Updates,2024-03-06,neutral,opened,desktop,yes,yes,6,March,Wednesday,2,intra_mails
385,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Operational Issues,2024-03-26,neutral,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
386,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Legal Matters,2024-03-04,negative,opened,mobile,no,yes,4,March,Monday,2,intra_mails
387,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Training and Development,2024-03-21,positive,opened,desktop,yes,yes,21,March,Thursday,4,intra_mails
388,Mort De Benedictis,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Client Related Communication,2024-03-29,neutral,opened,desktop,yes,yes,29,March,Friday,5,intra_mails
389,Mort De Benedictis,Professional,Customer Service,Edithe Cinnamond,Professional,Customer Service,Operational Issues,2024-03-28,negative,opened,mobile,yes,yes,28,March,Thursday,5,intra_mails
390,Mort De Benedictis,Professional,Customer Service,Edithe Cinnamond,Professional,Customer Service,Project Updates,2024-03-22,positive,opened,mobile,yes,yes,22,March,Friday,4,intra_mails
391,Mort De Benedictis,Professional,Customer Service,Edithe Cinnamond,Professional,Customer Service,Meeting Scheduling,2024-03-25,neutral,opened,desktop,yes,yes,25,March,Monday,5,intra_mails
392,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Meeting Scheduling,2024-03-19,positive,opened,desktop,no,yes,19,March,Tuesday,4,intra_mails
393,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-11,positive,opened,desktop,yes,yes,11,March,Monday,3,intra_mails
394,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-21,neutral,opened,desktop,no,yes,21,March,Thursday,4,intra_mails
395,Morly Finey,Professional,Customer Service,Angie Penticost,Professional,Customer Service,Client Related Communication,2024-03-21,neutral,opened,desktop,yes,yes,21,March,Thursday,4,intra_mails
396,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-26,positive,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
397,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Project Updates,2024-03-19,neutral,opened,desktop,yes,yes,19,March,Tuesday,4,intra_mails
398,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Client Related Communication,2024-03-16,positive,opened,desktop,no,no,16,March,Saturday,3,intra_mails
399,Angie Penticost,Professional,Customer Service,Maribelle Oliver,Professional,Customer Service,Operational Issues,2024-03-30,neutral,opened,desktop,no,no,30,March,Saturday,5,intra_mails
400,Maribelle Oliver,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Client Related Communication,2024-03-21,positive,opened,desktop,yes,yes,21,March,Thursday,4,intra_mails
401,Maribelle Oliver,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Operational Issues,2024-03-05,positive,opened,mobile,yes,yes,5,March,Tuesday,2,intra_mails
402,Maribelle Oliver,Professional,Customer Service,Tamara Brewitt,Professional,Customer Service,Meeting Scheduling,2024-03-21,neutral,opened,desktop,yes,yes,21,March,Thursday,4,intra_mails
403,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Meeting Scheduling,2024-03-05,positive,opened,desktop,yes,yes,5,March,Tuesday,2,intra_mails
404,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-13,neutral,opened,desktop,yes,yes,13,March,Wednesday,3,intra_mails
405,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Internal Policies and Procedures,2024-03-27,positive,opened,desktop,yes,yes,27,March,Wednesday,5,intra_mails
406,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-23,neutral,opened,desktop,no,no,23,March,Saturday,4,intra_mails
407,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Project Updates,2024-03-12,positive,opened,desktop,yes,yes,12,March,Tuesday,3,intra_mails
408,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-18,neutral,opened,desktop,yes,yes,18,March,Monday,4,intra_mails
409,Blithe Arnaudet,Middle level management,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-19,neutral,opened,desktop,yes,yes,19,March,Tuesday,4,intra_mails
410,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Training and Development,2024-03-14,neutral,opened,mobile,no,yes,14,March,Thursday,3,intra_mails
411,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-25,negative,opened,desktop,yes,yes,25,March,Monday,5,intra_mails
412,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Project Updates,2024-03-18,positive,opened,desktop,no,yes,18,March,Monday,4,intra_mails
413,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-15,positive,opened,mobile,yes,yes,15,March,Friday,3,intra_mails
414,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-18,positive,opened,desktop,yes,yes,18,March,Monday,4,intra_mails
415,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,intra_mails
416,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-18,neutral,unopened,mobile,yes,yes,18,March,Monday,4,intra_mails
417,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-26,positive,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
418,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Meeting Scheduling,2024-03-06,neutral,opened,mobile,yes,yes,6,March,Wednesday,2,intra_mails
419,Blithe Arnaudet,Middle level management,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Operational Issues,2024-03-30,positive,opened,desktop,no,no,30,March,Saturday,5,intra_mails
420,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-19,neutral,opened,desktop,no,yes,19,March,Tuesday,4,intra_mails
421,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-13,positive,opened,desktop,yes,yes,13,March,Wednesday,3,intra_mails
422,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-21,neutral,opened,mobile,yes,yes,21,March,Thursday,4,intra_mails
423,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-06,positive,opened,desktop,yes,yes,6,March,Wednesday,2,intra_mails
424,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,2024-03-21,negative,unopened,desktop,yes,yes,21,March,Thursday,4,intra_mails
425,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-04,neutral,opened,desktop,yes,yes,4,March,Monday,2,intra_mails
426,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-06,neutral,opened,desktop,yes,yes,6,March,Wednesday,2,intra_mails
427,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Training and Development,2024-03-18,neutral,opened,desktop,yes,yes,18,March,Monday,4,intra_mails
428,Constantino FitzGilbert,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,intra_mails
429,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-19,neutral,opened,mobile,yes,yes,19,March,Tuesday,4,intra_mails
430,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-26,positive,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
431,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Operational Issues,2024-03-20,neutral,opened,desktop,yes,yes,20,March,Wednesday,4,intra_mails
432,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,2024-03-13,neutral,opened,desktop,no,yes,13,March,Wednesday,3,intra_mails
433,Ozzy Jeffries,Professional,Finance and Accounting,Blithe Arnaudet,Middle level management,Finance and Accounting,Training and Development,2024-03-05,neutral,opened,desktop,yes,yes,5,March,Tuesday,2,intra_mails
434,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,intra_mails
435,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Meeting Scheduling,2024-03-21,neutral,opened,mobile,yes,yes,21,March,Thursday,4,intra_mails
436,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Finance and Accounting,2024-03-13,neutral,opened,mobile,yes,yes,13,March,Wednesday,3,intra_mails
437,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Meeting Scheduling,2024-03-22,neutral,opened,desktop,yes,yes,22,March,Friday,4,intra_mails
438,Ozzy Jeffries,Professional,Finance and Accounting,Constantino FitzGilbert,Professional,Finance and Accounting,Internal Policies and Procedures,2024-03-14,neutral,opened,desktop,yes,yes,14,March,Thursday,3,intra_mails
439,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Operational Issues,2024-03-21,neutral,opened,desktop,no,yes,21,March,Thursday,4,intra_mails
440,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Operational Issues,2024-03-04,positive,opened,desktop,no,yes,4,March,Monday,2,intra_mails
441,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-06,neutral,opened,desktop,yes,yes,6,March,Wednesday,2,intra_mails
442,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,HR related topics,2024-03-12,positive,unopened,desktop,yes,yes,12,March,Tuesday,3,intra_mails
443,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-21,neutral,opened,desktop,no,yes,21,March,Thursday,4,intra_mails
444,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-11,positive,opened,mobile,yes,yes,11,March,Monday,3,intra_mails
445,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,intra_mails
446,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-06,neutral,opened,mobile,yes,yes,6,March,Wednesday,2,intra_mails
447,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Finance and Accounting,2024-03-14,neutral,opened,desktop,yes,yes,14,March,Thursday,3,intra_mails
448,Constantino FitzGilbert,Professional,Finance and Accounting,Ozzy Jeffries,Professional,Finance and Accounting,Internal Policies and Procedures,2024-03-13,neutral,opened,desktop,yes,yes,13,March,Wednesday,3,intra_mails
449,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-04,negative,opened,desktop,yes,yes,4,March,Monday,2,intra_mails
450,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Project Updates,2024-03-19,negative,opened,desktop,yes,yes,19,March,Tuesday,4,intra_mails
451,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-05,neutral,opened,mobile,no,yes,5,March,Tuesday,2,intra_mails
452,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Meeting Scheduling,2024-03-26,positive,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
453,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Operational Issues,2024-03-06,positive,opened,desktop,yes,yes,6,March,Wednesday,2,intra_mails
454,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Internal Policies and Procedures,2024-03-20,neutral,unopened,mobile,yes,yes,20,March,Wednesday,4,intra_mails
455,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,Operational Issues,2024-03-14,neutral,opened,desktop,yes,yes,14,March,Thursday,3,intra_mails
456,Elsinore Waterland,Middle level management,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,intra_mails
457,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-30,positive,opened,desktop,no,no,30,March,Saturday,5,intra_mails
458,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-13,neutral,opened,mobile,yes,yes,13,March,Wednesday,3,intra_mails
459,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Internal Policies and Procedures,2024-03-26,positive,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
460,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Meeting Scheduling,2024-03-12,neutral,opened,desktop,no,yes,12,March,Tuesday,3,intra_mails
461,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-05,negative,opened,mobile,no,yes,5,March,Tuesday,2,intra_mails
462,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Meeting Scheduling,2024-03-21,neutral,opened,desktop,yes,yes,21,March,Thursday,4,intra_mails
463,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Project Updates,2024-03-22,positive,opened,mobile,yes,yes,22,March,Friday,4,intra_mails
464,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Operational Issues,2024-03-12,negative,opened,desktop,yes,yes,12,March,Tuesday,3,intra_mails
465,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-29,neutral,opened,desktop,yes,yes,29,March,Friday,5,intra_mails
466,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-26,neutral,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
467,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Project Updates,2024-03-14,positive,opened,mobile,yes,yes,14,March,Thursday,3,intra_mails
468,Elsinore Waterland,Middle level management,Human Resources,Elbertine Dowe,Professional,Human Resources,Meeting Scheduling,2024-03-04,neutral,opened,desktop,no,yes,4,March,Monday,2,intra_mails
469,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,2024-03-23,neutral,opened,mobile,no,no,23,March,Saturday,4,intra_mails
470,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-08,positive,opened,desktop,yes,yes,8,March,Friday,2,intra_mails
471,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-15,negative,opened,desktop,yes,yes,15,March,Friday,3,intra_mails
472,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-11,neutral,unopened,desktop,yes,yes,11,March,Monday,3,intra_mails
473,Petronilla Mapes,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,Training and Development,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,intra_mails
474,Elbertine Dowe,Professional,Human Resources,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-04,neutral,unopened,desktop,yes,yes,4,March,Monday,2,intra_mails
475,Petronilla Mapes,Professional,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-30,neutral,opened,desktop,no,no,30,March,Saturday,5,intra_mails
476,Petronilla Mapes,Professional,Human Resources,Elbertine Dowe,Professional,Human Resources,Operational Issues,2024-03-26,neutral,opened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
477,Petronilla Mapes,Professional,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-19,positive,opened,desktop,no,yes,19,March,Tuesday,4,intra_mails
478,Petronilla Mapes,Professional,Human Resources,Elbertine Dowe,Professional,Human Resources,Meeting Scheduling,2024-03-07,neutral,opened,mobile,no,yes,7,March,Thursday,2,intra_mails
479,Petronilla Mapes,Professional,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-07,neutral,opened,mobile,yes,yes,7,March,Thursday,2,intra_mails
480,Petronilla Mapes,Professional,Human Resources,Elbertine Dowe,Professional,Human Resources,HR related topics,2024-03-21,neutral,opened,desktop,yes,yes,21,March,Thursday,4,intra_mails
481,Petronilla Mapes,Professional,Human Resources,Elbertine Dowe,Professional,Human Resources,Operational Issues,2024-03-05,neutral,opened,desktop,no,yes,5,March,Tuesday,2,intra_mails
482,Elbertine Dowe,Professional,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-13,neutral,opened,desktop,yes,yes,13,March,Wednesday,3,intra_mails
483,Elbertine Dowe,Professional,Human Resources,Petronilla Mapes,Professional,Human Resources,Meeting Scheduling,2024-03-25,negative,opened,mobile,yes,yes,25,March,Monday,5,intra_mails
484,Elbertine Dowe,Professional,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-25,positive,opened,mobile,yes,yes,25,March,Monday,5,intra_mails
485,Elbertine Dowe,Professional,Human Resources,Petronilla Mapes,Professional,Human Resources,HR related topics,2024-03-13,neutral,opened,desktop,yes,yes,13,March,Wednesday,3,intra_mails
486,Abigael Alred,Middle level management,Information Technology (IT),Reina Trobey,Professional,Information Technology (IT),Operational Issues,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,intra_mails
487,Abigael Alred,Middle level management,Information Technology (IT),Reina Trobey,Professional,Information Technology (IT),Technical Support,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,intra_mails
488,Abigael Alred,Middle level management,Information Technology (IT),Reina Trobey,Professional,Information Technology (IT),Project Updates,2024-03-26,neutral,unopened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
489,Abigael Alred,Middle level management,Information Technology (IT),Reina Trobey,Professional,Information Technology (IT),Technical Support,2024-03-05,negative,opened,desktop,no,yes,5,March,Tuesday,2,intra_mails
490,Abigael Alred,Middle level management,Information Technology (IT),Reina Trobey,Professional,Information Technology (IT),Security Alerts,2024-03-18,negative,opened,desktop,yes,yes,18,March,Monday,4,intra_mails
491,Abigael Alred,Middle level management,Information Technology (IT),Reina Trobey,Professional,Information Technology (IT),Security Alerts,2024-03-26,positive,unopened,desktop,yes,yes,26,March,Tuesday,5,intra_mails
492,Abigael Alred,Middle level management,Information Technology (IT),Reina Trobey,Professional,Information Technology (IT),Technical Support,2024-03-11,positive,opened,mobile,yes,yes,11,March,Monday,3,intra_mails
493,Abigael Alred,Middle level management,Information Technology (IT),Madge Torrejon,Professional,Information Technology (IT),Operational Issues,2024-03-14,neutral,opened,mobile,yes,yes,14,March,Thursday,3,intra_mails
494,Abigael Alred,Middle level management,Information Technology (IT),Madge Torrejon,Professional,Information Technology (IT),Meeting Scheduling,2024-03-30,negative,opened,desktop,no,no,30,March,Saturday,5,intra_mails
495,Abigael Alred,Middle level management,Information Technology (IT),Madge Torrejon,Professional,Information Technology (IT),Operational Issues,2024-03-25,neutral,opened,mobile,yes,yes,25,March,Monday,5,intra_mails
496,Abigael Alred,Middle level management,Information Technology (IT),Madge Torrejon,Professional,Information Technology (IT),Technical Support,2024-03-13,neutral,opened,desktop,yes,yes,13,March,Wednesday,3,intra_mails
497,Abigael Alred,Middle level management,Information Technology (IT),Madge Torrejon,Professional,Information Technology (IT),Project Updates,2024-03-14,neutral,unopened,desktop,yes,yes,14,March,Thursday,3,intra_mails
498,Abigael Alred,Middle level management,Information Technology (IT),Marilyn Seeman,Professional,Information Technology (IT),Security Alerts,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,intra_mails
499,Abigael Alred,Middle level management,Information Technology (IT),Marilyn Seeman,Professional,Information Technology (IT),Meeting Scheduling,2024-03-26,neutral,opened,mobile,yes,yes,26,March,Tuesday,5,intra_mails
500,Abigael Alred,Middle level management,Information Technology (IT),Marilyn Seeman,Professional,Information Technology (IT),Technical Support,2024-03-18,positive,opened,mobile,yes,yes,18,March,Monday,4,intra_mails
501,Abigael Alred,Middle level management,Information Technology (IT),Marilyn Seeman,Professional,Information Technology (IT),Meeting Scheduling,2024-03-19,neutral,opened,desktop,no,yes,19,March,Tuesday,4,intra_mails
502,Abigael Alred,Middle level management,Information Technology (IT),Marilyn Seeman,Professional,Information Technology (IT),Technical Support,2024-03-18,positive,opened,mobile,no,yes,18,March,Monday,4,intra_mails
503,Abigael Alred,Middle level management,Information Technology (IT),Marilyn Seeman,Professional,Information Technology (IT),Operational Issues,2024-03-05,negative,opened,desktop,no,yes,5,March,Tuesday,2,intra_mails
